FacilityName,FacilityType,LicenseNumber,Licensee_name,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,LicensedBedCount,Source_DSHS_Data,hsystem_contract,contact_person,contact_person_title,num_employees,num_resident,facility_email,cellphone_number,total_afh_same_management,region
ECHO LAKE ADULT FAMILY HOME LLC,AF,752704,This variable does not exist for Adult Family Homes,2149 N 194TH ST,SHORELINE,WA,98133,King,2149 N 194TH ST,WA,98133,(206) 364-0563,(206) 363-0919,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,SENAIT MESFUN,Resident Manager,5,5,NA,(425)241-6340 (Mobile),1,1
EDENS VILLA,AF,10001,This variable does not exist for Adult Family Homes,10714 38TH AVE NE,SEATTLE,WA,98125,King,10714 38TH AVE NE,WA,98125,(206) 364-5593,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Eden Embaye,Provider,2,3,edenemb@yahoo.com,(206)351-3599 (Mobile),1,4
Edens Villa LLC,AF,753617,This variable does not exist for Adult Family Homes,11531 8th Ave NE,Seattle,WA,98125,King,11531 8th Ave NE,WA,98125,(206) 351-3599,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Catherine Rinder-Baker,Resident Manager,4,5,edenemb@yahoo.com,(206)351-3599 (Mobile),1,4
EDGEWOOD MANOR AFH IN KENT,AF,752361,This variable does not exist for Adult Family Homes,20201 108TH AVE SE,KENT,WA,98031,King,PO BOX 2023,WA,98354,(253) 243-7947,(253) 838-3597,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Frank Velasquez,Resident Manager,4,5,frankvelasquez@comcast.net,(206)799-0394 (Mobile),1,3
EDUCATION HILL AFH,AF,751174,This variable does not exist for Adult Family Homes,16228 NE 100TH STREET,REDMOND,WA,98052,King,16228 NE 100TH STREET,WA,98052,(425) 242-0288,,3,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Ramona Sigheartu,Resident Manager,2,2,sigheartau_m@yahoo.com,NA,1,2
Eldana Adult Family Home LLC,AF,753955,This variable does not exist for Adult Family Homes,14436 88th Ave NE,Kirkland,WA,98034,King,14436 88th Ave NE,WA,98034,(425) 298-4655,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,WOTET GEMBERE,Resident Manager,3,0,Eldanaafhllc@gmail.com,(206)769-5756 (Mobile),1,2
ELDERLY HOME CARE,AF,751641,This variable does not exist for Adult Family Homes,15018 SIMONDS RD NE,BOTHELL,WA,98011,King,15018 SIMONDS RD NE,WA,98011,(425) 286-6938,(425) 949-7463,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,RODICA NARTEA,Resident Manager,No response,No response,qelu.nartea@excite.com,(206)354-1271 (Mobile),1,1
ELDERS CARE HOME,AF,751538,This variable does not exist for Adult Family Homes,1700 FERRY AVE SW,SEATTLE,WA,98116,King,1700 FERRY AVE SW,WA,98116,(206) 938-1671,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,NINA NACKVISETH,Resident Manager,2,5,orathainackviseth@gmail.com,(206)841-2290 (Mobile),1,4
Elite Care At Algona,AF,754387,This variable does not exist for Adult Family Homes,312 3rd Pl S,Auburn,WA,98001,King,PO Box 346,WA,98071,(253) 329-2669,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Alysha Do,Resident Manager,3,4,algonaelite@afhlink.com,(253)632-6158 (Mobile),2,3
"Elite Home Care, Inc.",AF,754435,This variable does not exist for Adult Family Homes,15911 112th Ave NE,Bothell,WA,98011,King,15911 112th Ave NE,WA,98011,(425) 408-1851,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Bryan Zagrean,Resident Manager,No response,No response,1EliteHC@gmail.com,(206)719-5232 (Mobile),1,1
ELLES N INC,AF,508202,This variable does not exist for Adult Family Homes,11320 SANDPOINT WAY NE,SEATTLE,WA,98125,King,11320 SANDPOINT WAY NE,WA,98125,(206) 363-0764,(206) 367-2235,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Daniela Gancheva,Representative,2,4,NA,NA,1,4
Ellison Terrace AFH LLC,AF,753627,This variable does not exist for Adult Family Homes,17206 146th Ave SE,Renton,WA,98058,King,17206 146th Ave SE,WA,98058,(425) 753-7156,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,DUNCAN NGARACHU,Resident Manager,4,6,ELLISON.TERRACE@gmail.com,(425)753-7156 (Mobile),1,3
Emerald Care Adult Family Home,AF,753101,This variable does not exist for Adult Family Homes,6204 S 296th St,Auburn,WA,98001,King,6204 S 296th St,WA,98001,(206) 629-2054,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Sophia Ismail,Resident Manager,6,5,NA,(253)205-5056 (Mobile),2,3
Emerald Forest AFH LLC,AF,753383,This variable does not exist for Adult Family Homes,13227 SE 188th Pl,Renton,WA,98058,King,13227 SE 188th Pl,WA,98058,(425) 433-6026,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Perpetua Wairima,Resident Manager,4,5,wairimaperpetua@gmail.com,(206)488-4977 (Mobile),1,3
EMERALD LUV N CARE LLC,AF,750078,This variable does not exist for Adult Family Homes,10617 18TH AVE SW,SEATTLE,WA,98146,King,10617 18TH AVE SW,WA,98146,(206) 243-1529,(206) 241-4712,4,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Merlina Bumanglag,Representative,3,6,RMbumanglag@aol.com,NA,1,4
EMMANUEL HOUSE INC,AF,752555,This variable does not exist for Adult Family Homes,942 S 293RD STREET,FEDERAL WAY,WA,98003,King,942 S 293RD STREET,WA,98003,(253) 347-8290,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,HAESIN PARK,Resident Manager,2,6,NA,NA,1,3
ENDLESS LOVE,AF,750496,This variable does not exist for Adult Family Homes,608 SW 299TH STREET,FEDERAL WAY,WA,98023,King,1606 SOUTH 253RD PLACE,WA,98198,(253) 839-4917,,4,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Racheal Ragui,Provider,2,4,ndutaragui@hotmail.com,NA,1,3
Equator House AFH Inc,AF,754160,This variable does not exist for Adult Family Homes,12948 SE 259th Pl,Kent,WA,98030,King,12948 SE 259th Pl,WA,98030,,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Charles Mwangi,Resident Manager,4,5,mcdestiny17@gmail.com,(206)966-3284 (Mobile),1,3
EQUI LUV N CARE,AF,751392,This variable does not exist for Adult Family Homes,3202 SW 344th St,Federal Way,WA,98023,King,3214 SW 344th St,WA,98023,(206) 779-6243,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Nai Duncan,Resident Manager,2,6,sixfoor@yahoo.com,(206)779-6243 (Mobile),2,3
ESTERAS NEW HOPE AFH INC,AF,751736,This variable does not exist for Adult Family Homes,13918 129TH PL NE,KIRKLAND,WA,98034,King,13918 129TH PL NE,WA,98034,(425) 823-7981,(425) 896-8886,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,William Dodd,Resident Manager,4,6,newhopeafhkirkland@yahoo.com,"(206)390-9471 (Mobile)
(206)390-9473 (Mobile)",1,2
ESTHER ADULT FAMILY HOME LLC,AF,752057,This variable does not exist for Adult Family Homes,31604 13TH AVENUE S,FEDERAL WAY,WA,98003,King,31604 13TH AVENUE S,WA,98003,(253) 941-3911,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,MATTHEW AKINLOSOTU,Resident Manager,7,5,NA,(206)226-7918 (Mobile),1,3
ESTHER ADULT FAMILY HOME LLC,AF,751282,This variable does not exist for Adult Family Homes,29810 4TH AVE SW,FEDERAL WAY,WA,98023,King,29810 4TH AVE SW,WA,98023,(253) 449-1818,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,FOLASHADE AKINLOSOTU,Resident Manager,7,5,NA,NA,2,3
Esther Adult Family Home LLC,AF,753616,This variable does not exist for Adult Family Homes,3923 S 328th St,Federal Way,WA,98001,King,29810 4th Ave SW,WA,98023,(253) 238-0909,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Jane Gatheru,Resident Manager,7,5,estherafh@yahoo.com,(206)226-7918 (Mobile),2,3
European Care Home Inc,AF,754040,This variable does not exist for Adult Family Homes,3716 55th Ave SW,SEATTLE,WA,98116,King,3716 55th Ave SW,WA,98116,(206) 932-2085,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Juana Rios,Resident Manager,4,5,europeanseniorcare@gmail.com,(206)854-3434 (Mobile),1,4
European Life Home Inc,AF,754091,This variable does not exist for Adult Family Homes,4002 46th Ave SW,SEATTLE,WA,98116,King,4002 46th Ave SW,WA,98116,(206) 932-6960,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Alexis Santos,Resident Manager,3,4,europeanseniorcare@gmail.com,(206)854-3434 (Mobile),1,4
Evania Adult Family Home LLC,AF,753130,This variable does not exist for Adult Family Homes,424 174th Pl NE,Bellevue,WA,98008,King,PO Box 451,WA,98009,(425) 449-8138,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,James Mburu,Resident Manager,No response,No response,pacificstaffingconcept@yahoo.com,(206)551-0621 (Mobile),2,2
EVANS HOME,AF,495301,This variable does not exist for Adult Family Homes,17629 8TH LANE NE,SHORELINE,WA,98155,King,17629 8TH LANE NE,WA,98155,(206) 361-1678,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Sheng Chen,Resident Manager,5,6,ywh1678@yahoo.com,(206)218-2746 (Mobile),1,1
Everest Adult Family Home LLC,AF,753189,This variable does not exist for Adult Family Homes,912 N 196th Ct,Shoreline,WA,98133,King,912 N 196th Ct,WA,98133,(206) 542-5563,(206) 542-5574,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Ganesh Shiwakoti,Resident Manager,2,5,ganespsd@gmail.com,(206)384-9422 (Mobile),1,1
Everest AFH LLC,AF,753723,This variable does not exist for Adult Family Homes,28009 118TH AVE SE,KENT,WA,98030,King,28009 118TH AVE SE,WA,98030,(253) 631-6552,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Lalita Kayastha,Resident Manager,2,5,everestafhllc@gmail.com,(206)551-2711 (Mobile),1,3
Everest House of Renton LLC,AF,753990,This variable does not exist for Adult Family Homes,11004 SE 186th Street,Renton,WA,98055,King,11004 SE 186th Street,WA,98055,(206) 557-2655,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Anita Shrestha-Maskey,Resident Manager,2,3,sthaani1234@gmail.com,(206)557-2655 (Mobile),1,3
Everest House Renton I LLC,AF,753964,This variable does not exist for Adult Family Homes,1622 Talbot Rd S,Renton,WA,98055,King,1622 Talbot Rd S,WA,98055,(425) 264-5046,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Narayan Khatri,Resident Manager,3,3,nkhatri68@gmail.com,(703)344-5807 (Mobile),1,3
Everest House Renton II LLC,AF,753965,This variable does not exist for Adult Family Homes,322 S 15th St,Renton,WA,98055,King,322 S 15th St,WA,98055,(425) 226-3015,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Sushil Bogati,Resident Manager,3,3,Sbogati@gmail.com,(206)739-4234 (Mobile),1,3
Evergreen AFH,AF,753878,This variable does not exist for Adult Family Homes,220 2nd Ave SE ,Pacific,WA,98047,King,220 2nd Ave SE ,WA,98047,(253) 266-9100,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,ANNA HAN,Resident Manager,2,6,evergreenafh6@gmail.com,(253)266-9100 (Mobile),1,3
EVERGREEN AFH,AF,578900,This variable does not exist for Adult Family Homes,10603 NE 137TH PLACE,KIRKLAND,WA,98034,King,10603 NE 137TH PLACE,WA,98034,(425) 820-5118,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Lelly Gruita,Provider,5,6,NA,(425)442-7798 (Mobile),1,2
EVERGREEN GARDENS II,AF,752320,This variable does not exist for Adult Family Homes,1901 SHATTUCK AVE S,RENTON,WA,98055,King,1901 SHATTUCK AVE S,WA,98055,(206) 779-5917,(425) 226-1759,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Peter Gunter,Resident Manager,3,4,peter@evergreengardens.us,(206)779-5917 (Mobile),1,3
Evergreen Haven Senior Care,AF,753033,This variable does not exist for Adult Family Homes,15402 NE 12th Ave,Shoreline,WA,98155,King,15402 NE 12th Ave,WA,98155,(206) 294-4598,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,JOYCE PINEDA,Resident Manager,3,4,joycepineda1960@yahoo.com,(206)832-5835 (Mobile),1,1
EVERGREEN HOME CARE A LLC,AF,753412,This variable does not exist for Adult Family Homes,17603 91ST AVE NE,BOTHELL,WA,98011,King,17603 91ST AVE NE,WA,98011,(425) 444-0110,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Ancuta Carp,Resident Manager,3,6,gabe1372@yahoo.com,(425)487-0055 (Mobile),1,1
EVERGREEN HOME SERVICES CORPORATION,AF,608500,This variable does not exist for Adult Family Homes,9701 S 200TH ST,KENT,WA,98031,King,9701 S 200TH ST,WA,98031,(253) 856-2790,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Minda Lopez,Representative,4,6,minda.lopez@yahoo.com,NA,1,3
EVERGREEN PARK 4,AF,750089,This variable does not exist for Adult Family Homes,142 S 295TH PL,FEDERAL WAY,WA,98003,King,142 S 295TH PL,WA,98003,(253) 839-9438,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,RAMONA IUDEAN,Resident Manager,3,5,NA,(206)660-1273 (Mobile),1,3
EVERGREEN PARK AT GREEN LAKE,AF,751053,This variable does not exist for Adult Family Homes,7520 EAST GREEN LAKE DRIVE NORTH,SEATTLE,WA,98103,King,17126 SE 29th Pl,WA,98008,(206) 985-2048,(206) 985-2048,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,ELIZABETH MWARENGE,Resident Manager,2,6,NA,NA,3,4
EVERGREEN PARK AT LAKE SAMMAMISH,AF,751316,This variable does not exist for Adult Family Homes,17126 SE 29TH PLACE,BELLEVUE,WA,98008,King,17126 SE 29TH PLACE,WA,98008,(425) 746-5963,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Natalia Jimenez,Resident Manager,4,6,NA,(206)660-1273 (Mobile),3,2
EVERGREEN PARK WEST CAMPUS,AF,752666,This variable does not exist for Adult Family Homes,32020 11TH AVE SW,FEDERAL WAY,WA,98023,King,17126 SE 29TH PL,WA,98008,(253) 344-1139,(253) 344-1139,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Marijana Morrow,Resident Manager,3,5,evergreenwa52@gmail.com,(206)660-1273 (Mobile),3,3
EVERGREEN SENIOR CARE LLC,AF,752511,This variable does not exist for Adult Family Homes,11605 4TH AVE SW,SEATTLE,WA,98146,King,11605 4TH AVE SW,WA,98146,(206) 735-7574,(206) 420-8226,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Lilian Mbugua,Resident Manager,4,6,NA,(206)664-1022 (Mobile),1,4
Evergreen Wellness AFH LLC,AF,753696,This variable does not exist for Adult Family Homes,22615 100th Ave SE,Kent,WA,98031,King,22615 100th Ave SE,WA,98031,(253) 854-4283,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Laura Tanasescu,Resident Manager,3,3,evergreenwellnessafh@comcast.net,(206)353-6654 (Mobile),1,3
EVERLASTING AFH,AF,718900,This variable does not exist for Adult Family Homes,17026 130TH AVE SE,RENTON,WA,98058,King,17026 130TH AVE SE,WA,98058,(425) 271-0845,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Gaily Sairez,Provider,3,5,tgfsairez@comcast.net,(253)334-4836 (Mobile),1,3
EVERLASTING CARE ADULT FAMILY HOME,AF,609600,This variable does not exist for Adult Family Homes,936 SOUTH 261ST PLACE,DES MOINES,WA,98198,King,936 SOUTH 261ST PLACE,WA,98198,(253) 839-2963,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Amelia Delos Reyes,Provider,4,5,amy_care02@yahoo.com,NA,1,3
Everlasting Comfort AFH LLC,AF,753294,This variable does not exist for Adult Family Homes,14811 NE 11th Pl,Bellevue,WA,98007,King,14811 NE 11th Pl,WA,98007,(425) 502-9955,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Cristina Tapia,Resident Manager,2,5,Tapia.Cristina@yahoo.com,(425)791-0644 (Mobile),1,2
Exceeding Grace Senior Care AFH LLC,AF,753974,This variable does not exist for Adult Family Homes,10549 SE 228th St,Kent,WA,98031,King,10549 SE 228th St,WA,98031,(425) 524-1198,,4,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Uchanma Igwe,Resident Manager,2,4,harrietrex@gmail.com,(425)524-1198 (Mobile),1,3
EXCELLENT ADULT FAMILY HOME,AF,752519,This variable does not exist for Adult Family Homes,19114 8TH AVE NW,SEATTLE,WA,98177,King,19114 8TH AVE NW,WA,98177,(206) 359-2766,(206) 629-5987,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,LILIANA ANGHEL,Resident Manager,4,6,NA,NA,1,4
Excellent Senior Care Inc,AF,752852,This variable does not exist for Adult Family Homes,13737 30TH AVE NE,SEATTLE,WA,98125,King,13737 30TH AVE NE,WA,98125,(425) 879-1364,(206) 892-9808,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Rodica Mocanu,Resident Manager,No response,No response,excellentseniorcare@hotmail.com,(425)879-1364 (Mobile),1,4
EXCEPTIONAL CARE ADULT FAMILY HOME,AF,751665,This variable does not exist for Adult Family Homes,14810 NE 15TH PLACE,BELLEVUE,WA,98007,King,14810 NE 15TH PLACE,WA,98007,(425) 818-5027,(428) 818-5027,4,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,JEAN SIMEKHA,Resident Manager,2,4,simekjean@gmail.com,(425)785-5147 (Mobile),1,2
EXTENDED FAMILY AFH,AF,752656,This variable does not exist for Adult Family Homes,3422 S 261ST PLACE,KENT,WA,98032,King,3422 S 261ST PLACE,WA,98032,(253) 850-0373,(253) 850-9421,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,ANDRE NIAMBARA,Resident Manager,4,5,NA,(206)214-7232 (Mobile),1,3
FABIS ADULT FAMILY HOME,AF,632500,This variable does not exist for Adult Family Homes,5206 SOUTH 318TH PLACE,AUBURN,WA,98001,King,5206 South 318th PL,WA,98001,(253) 939-2510,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Jan Fabis,Resident Manager,4,4,NA,NA,1,3
FACTORIA ADULT FAMILY HOME INC,AF,752058,This variable does not exist for Adult Family Homes,14260 SE 38TH ST,BELLEVUE,WA,98006,King,14260 SE 38TH ST,WA,98006,(425) 373-3423,(425) 562-5161,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Emanuel Carp,Resident Manager,2,4,NA,(425)444-0110 (Mobile),1,2
Fairview Pointe AFH LLC,AF,754012,This variable does not exist for Adult Family Homes,29011 50th PL S,Auburn ,WA,98001,King,29011 50th PL S,WA,98001,(425) 442-1695,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Eunice Kinyanjui,Resident Manager,2,4,fairviewpointeafh@gmail.com,(425)442-1695 (Mobile),1,3
Fairway View AFH Corp,AF,753610,This variable does not exist for Adult Family Homes,32112 32ND AVE SW,FEDERAL WAY,WA,98023,King,32112 32ND AVE SW,WA,98023,(206) 395-4784,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Ester Nteze,Resident Manager,4,4,info@fairwayviewafh.com,(206)395-4784 (Mobile),1,3
FAIRWOOD CARE HOME II,AF,345900,This variable does not exist for Adult Family Homes,13805 SE 161ST PL,RENTON,WA,98058,King,13805 SE 161ST PL,WA,98058,(425) 277-3882,(425) 430-4588,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Ioana Perde,Provider,No response,No response,joeyperde@hotmail.com,(206)353-3882 (Mobile),1,3
FAIRWOOD GARDENS ADULT FAMILY HOME INC,AF,752472,This variable does not exist for Adult Family Homes,14246 SE 179TH PL,RENTON,WA,98058,King,14246 SE 179TH PL,WA,98058,(425) 271-2798,(425) 277-1518,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,NELLY SOME,Resident Manager,No response,No response,NA,(206)313-1777 (Mobile),1,3
Fairwood Manor Adult Family Home LLC,AF,753859,This variable does not exist for Adult Family Homes,12912 SE 186th St,Renton,WA,98058,King,12912 SE 186th St,WA,98058,(425) 586-0255,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Glenn Boctot,Resident Manager,3,6,Fairwoodmanor@yahoo.com,(206)307-6761 (Mobile),1,3
FAIRWOOD RESIDENCE AFH,AF,751329,This variable does not exist for Adult Family Homes,15645 SE FAIRWOOD BLVD,RENTON,WA,98058,King,15645 SE FAIRWOOD BLVD,WA,98058,(425) 254-0994,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,HALIMA MWALE,Resident Manager,2,6,admin@fairwoodresidenceafh.com,(425)830-8752 (Mobile),1,3
"Fairwood Residence AFH2, LLC",AF,754308,This variable does not exist for Adult Family Homes,16934 130th Ave SE,Renton,WA,98058,King,16934 130th Ave SE,WA,98058,(425) 207-8089,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,HERMAN MWALE,Resident Manager,No response,No response,Fairwoodresidence@gmail.com,(425)830-8752 (Mobile),1,3
Faith Family Home,AF,753548,This variable does not exist for Adult Family Homes,15453 81st Ave NE,Kenmore,WA,98028,King,15453 81st Ave NE,WA,98028,(425) 892-8742,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Grace Mwaura,Resident Manager,2,6,lfhcarellc@gmail.com,(312)848-0825 (Mobile),1,1
Faith House AFH LLC,AF,753534,This variable does not exist for Adult Family Homes,37630 165TH AVE SE,AUBURN,WA,98092,King,37630 165TH AVE SE,WA,98092,(253) 245-9249,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Peter Mugure,Resident Manager,4,3,faithhouseafh1@gmail.com,(253)252-9845 (Mobile),1,3
Faithful House AFH LLC,AF,754136,This variable does not exist for Adult Family Homes,3710 Lemon Tree Lane,Auburn,WA,98092,King,3710 Lemon Tree Lane,WA,98092,(253) 833-0462,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Alice Mbuthia,Resident Manager,4,5,faithfulhouseafh@gmail.com,(206)407-4114 (Mobile),1,3
FAMILIA ADULT CARE I LLC,AF,751945,This variable does not exist for Adult Family Homes,19639 108TH AVE SE,RENTON,WA,98055,King,12715 SE 166TH ST,WA,98058,(253) 520-1606,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Elisa Fajardo,Resident Manager,2,5,JEJ.FAJARDO@GMAIL.COM,(206)265-0874 (Mobile),2,3
Family Care One AFH LLC,AF,754504,This variable does not exist for Adult Family Homes,13028 133RD PL NE,KIRKLAND,WA,98034,King,13028 133RD PL NE,WA,98034,(425) 307-1445,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEDERAL WAY AFH,AF,350300,This variable does not exist for Adult Family Homes,31616 13TH AVENUE SW,FEDERAL WAY,WA,98023,King,31616 13TH AVE SW,WA,98023,(253) 839-2965,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Maryanne Paligutan,Resident Manager,3,5,paligem@msn.com,"(253)653-2056 (Mobile)
(253)653-2084 (Mobile)",1,3
FEDERAL WAY QUALITY CARE AFH,AF,751064,This variable does not exist for Adult Family Homes,31205 8TH AVE S,FEDERAL WAY,WA,98003,King,31205 8TH AVE S,WA,98003,(253) 941-7825,(253) 839-4578,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Lolita Agustin,Resident Manager,2,4,NA,NA,1,3
FELICITY SENIOR CARE INC,AF,751660,This variable does not exist for Adult Family Homes,15419 SE 21ST PLACE,BELLEVUE,WA,98007,King,15419 SE 21ST PLACE,WA,98007,(425) 641-8300,(425) 641-8400,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Elena Nutu,Resident Manager,2,3,joe@felicityseniorcare.com,"(425)350-0556 (Mobile)
(206)715-1551 (Mobile)",1,2
FINN HILL HAVEN,AF,592700,This variable does not exist for Adult Family Homes,9219 NE 138TH PL,KIRKLAND,WA,98034,King,9219 NE 138TH PL,WA,98034,(425) 820-7577,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Laura Nielsen,Representative,1,1,NA,(206)779-8728 (Mobile),1,2
FINN HILL PARK AFH,AF,750284,This variable does not exist for Adult Family Homes,7339 NE 140th St,Kirkland,WA,98034,King,7339 NE 140th St,WA,98034,(425) 823-4206,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,ALEKSANDR TARASOV,Resident Manager,4,5,papaafh1019@hotmail.com,(206)914-8261 (Mobile),1,2
Firland Adult Family Home LLC,AF,753490,This variable does not exist for Adult Family Homes,19214 Firlands Way N,Shoreline,WA,98133,King,19214 Firlands Way N,WA,98133,(206) 546-2315,,5,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Almaz Tesfay,Resident Manager,2,4,almazt1@comcast.net,(206)291-2856 (Mobile),1,1
FIRST CHOICE CARE LLC,AF,751963,This variable does not exist for Adult Family Homes,22028 108TH AVE SE,KENT,WA,98031,King,22028 108TH AVE SE,WA,98031,(253) 236-5178,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/AFHAdvLookup.aspx,NA,Daniela Torkelson,Resident Manager,4,6,NA,(206)769-0603 (Mobile),1,3
